p_id,name,price,colour,brand,ratingcount,avg_rating,description,brand_id,occasion,pattern,print or pattern type,fabric,wash care,sustainable,body or garment size,length
1518329,Dupatta Bazaar White Embroidered Chiffon Dupatta,899.0,White,Dupatta Bazaar,1321.0,4.548826646,White embroidered&nbsp;dupattaChiffonHand-wash coldLength: 2.5 metres Width: 1 metre,242,Daily,Embroidered,Floral,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
10711448,Dupatta Bazaar Women White Solid Dupatta,599.0,White,Dupatta Bazaar,1531.0,4.536250816,White solid dupatta and has a taping borderPoly ChiffonHand-washLength:&nbsp;2.35 mWidth: 90 cm,242,Daily,Solid,Solid,Poly Chiffon,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14964708,Dupatta Bazaar Orange & Green Dyed Art Silk Bandhani Dupatta,899.0,Orange,Dupatta Bazaar,30.0,4.366666667,"Orange and green bandhani dyed dupatta has bandhani technique,,  woven design borderArt silk  Machine washLength:&nbsp;2.35 metresWidth:&nbsp;0.9 meters",242,Daily,Dyed,Bandhani,Art Silk,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13552234,Dupatta Bazaar Black Solid Dupatta,599.0,Black,Dupatta Bazaar,232.0,4.5474137930000005,Black solid Dupatta and has a solid borderMaterial: Poly Chiffon  Machine WashLength: 2.3 mWidth: 0.9 m,242,Daily,Solid,Solid,Poly Chiffon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17663032,Dupatta Bazaar Women's Solid Orange Dupatta,599.0,Orange,Dupatta Bazaar,0.0,0.0,Orange solid dupattaWoven design borderPoly chiffonMachine WashLength: 2.4 metersWidth: 90 cm,242,Party,Solid,Solid,Poly Chiffon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
12866574,Dupatta Bazaar Maroon Solid Dupatta,699.0,Maroon,Dupatta Bazaar,118.0,4.245762711999999,Maroon solid Dupatta and has a fringed borderMaterial: Poly Chiffon  Machine WashLength: 2.5 metresWidth: 0.9 metre,242,Daily,Solid,Solid,Poly Chiffon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17662986,Dupatta Bazaar Green Striped Tie and Dye Dupatta,999.0,Green,Dupatta Bazaar,0.0,0.0,"Green leheriya striped dupatta has tie and dye technique,,  embellished borderDimensions :&nbsp;2.4""meters*0.9""metersSilk BlendHand Wash",242,Party,Striped,Leheriya,Silk Blend,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15514526,Dupatta Bazaar Navy Blue Embroidered Dupatta with Mirror Work,999.0,Navy Blue,Dupatta Bazaar,41.0,4.536585366000001,"Navy blue geometric embroidered dupatta mirror work,  taping borderLength: 2.25 mWidth: 0.9 mPoly chiffon  Dry clean",242,Party,Embroidered,Geometric,Poly Chiffon,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Regular
14447434,Dupatta Bazaar White Ethnic Motifs Embroidered Dupatta,999.0,White,Dupatta Bazaar,47.0,4.382978723,"White ethnic motifs embroidered dupatta,  taping borderPoly chiffon  Hand washLength: 2.35 mWidth: 0.9 m",242,Daily,Embroidered,Ethnic Motifs,Poly Chiffon,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13041774,Dupatta Bazaar Women Pink & Off-White Striped Leheriya Dupatta,1399.0,Pink,Dupatta Bazaar,0.0,0.0,"Pink and off-white striped gotta patti dupatta, has a pom pom and taping detailing along the borderMaterial: Poly chiffonHand washLength: 2.30 mWidth: 0.9 m",242,Party,Printed,Leheriya,Poly Chiffon,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
10588018,Dupatta Bazaar White Dyed Dupatta,499.0,White,Dupatta Bazaar,154.0,4.415584416000001,White dyed Dupatta and has a fringed borderLength: 2.40 metresWidth: 0.9 metresPoly ChiffonMachine-wash,242,Daily,Dyed,Solid,Poly Chiffon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14447530,Dupatta Bazaar Pink & Gold-Toned Woven Design Banarasi Pure Silk Dupatta,1499.0,Pink,Dupatta Bazaar,12.0,4.0,"Pink and gold-toned floral woven design dupatta,  tasselled borderPure silk  Dry cleanLength: 2.35 mWidth: 0.9 m",242,Daily,Woven Design,Floral,Pure Silk,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Regular
17663034,Dupatta Bazaar Off White & Gold-Toned Embroidered Dupatta,999.0,Off White,Dupatta Bazaar,7.0,4.571428571,"Off white and gold-toned solid embroidered dupatta sequinned,  embellished borderNetDry Clean OnlyLength: 2.4 mWidth: 90 cm",242,Party,Embroidered,Solid,Net,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Regular
996728,Dupatta Bazaar Beige Silk Dupatta,599.0,Beige,Dupatta Bazaar,173.0,4.098265896,"Beige woven dupatta, has zari woven detail along the border,&nbsp;tassels along both the endsLength: 2.4 metres Width: 0.8 metresSilkHand-wash cold",242,Daily,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14160408,Dupatta Bazaar Silver-Toned Solid Dupatta,899.0,Silver,Dupatta Bazaar,12.0,4.666666667,Silver-Toned solid Dupatta and has a tasselled borderLength: 2.30 metresWidth: 0.9 metreMaterial: Silk Blend  Hand Wash,242,Daily,Solid,Solid,Silk Blend,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
10487070,Dupatta Bazaar Off-White Solid Dupatta,599.0,Off White,Dupatta Bazaar,59.0,4.084745763,Off-White solid Dupatta and has a fringed borderCotton SilkMachine-washLength: 2.40 metresWidth: 0.9 metres,242,Daily,Solid,Solid,Silk Blend,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18652504,Dupatta Bazaar Yellow & Pink Embroidered Dupatta with Thread Work,6999.0,Yellow,Dupatta Bazaar,0.0,0.0,"Yellow and pink floral embroidered dupatta thread work,  taping borderLength:  Width:Dry Clean Only",242,Party,Embroidered,Floral,Viscose Georgette,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Regular
14160340,Dupatta Bazaar White Embroidered Chiffon Dupatta,999.0,White,Dupatta Bazaar,15.0,4.133333333,"White embroidered Dupatta, thread work, and has a taping borderMaterial: Poly Chiffon  Hand WashLength: 2.30 metresWidth: 0.9 metre",242,Daily,Embroidered,Ethnic Motifs,Poly Chiffon,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
