p_id,name,price,colour,brand,ratingcount,avg_rating,brand_id,occasion,pattern,print or pattern type,fabric,wash care,sustainable,body or garment size,length
1518329,Dupatta Bazaar White Embroidered Chiffon Dupatta,899.0,White,Dupatta Bazaar,1321.0,4.548826646,242,Daily,Embroidered,Floral,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
10711448,Dupatta Bazaar Women White Solid Dupatta,599.0,White,Dupatta Bazaar,1531.0,4.536250816,242,Daily,Solid,Solid,Poly Chiffon,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14964708,Dupatta Bazaar Orange & Green Dyed Art Silk Bandhani Dupatta,899.0,Orange,Dupatta Bazaar,30.0,4.366666667,242,Daily,Dyed,Bandhani,Art Silk,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13552234,Dupatta Bazaar Black Solid Dupatta,599.0,Black,Dupatta Bazaar,232.0,4.5474137930000005,242,Daily,Solid,Solid,Poly Chiffon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17663032,Dupatta Bazaar Women's Solid Orange Dupatta,599.0,Orange,Dupatta Bazaar,0.0,0.0,242,Party,Solid,Solid,Poly Chiffon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
12866574,Dupatta Bazaar Maroon Solid Dupatta,699.0,Maroon,Dupatta Bazaar,118.0,4.245762711999999,242,Daily,Solid,Solid,Poly Chiffon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17662986,Dupatta Bazaar Green Striped Tie and Dye Dupatta,999.0,Green,Dupatta Bazaar,0.0,0.0,242,Party,Striped,Leheriya,Silk Blend,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15514526,Dupatta Bazaar Navy Blue Embroidered Dupatta with Mirror Work,999.0,Navy Blue,Dupatta Bazaar,41.0,4.536585366000001,242,Party,Embroidered,Geometric,Poly Chiffon,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Regular
14447434,Dupatta Bazaar White Ethnic Motifs Embroidered Dupatta,999.0,White,Dupatta Bazaar,47.0,4.382978723,242,Daily,Embroidered,Ethnic Motifs,Poly Chiffon,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13041774,Dupatta Bazaar Women Pink & Off-White Striped Leheriya Dupatta,1399.0,Pink,Dupatta Bazaar,0.0,0.0,242,Party,Printed,Leheriya,Poly Chiffon,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
10588018,Dupatta Bazaar White Dyed Dupatta,499.0,White,Dupatta Bazaar,154.0,4.415584416000001,242,Daily,Dyed,Solid,Poly Chiffon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14447530,Dupatta Bazaar Pink & Gold-Toned Woven Design Banarasi Pure Silk Dupatta,1499.0,Pink,Dupatta Bazaar,12.0,4.0,242,Daily,Woven Design,Floral,Pure Silk,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Regular
17663034,Dupatta Bazaar Off White & Gold-Toned Embroidered Dupatta,999.0,Off White,Dupatta Bazaar,7.0,4.571428571,242,Party,Embroidered,Solid,Net,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Regular
